requirement_id,source,owning_workstream,implementation_task,verification_task,qualifying_test,required_backend,expected_evidence,target_gate,current_baseline_status
BR-001,DEC-016,WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-001.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-002,DEC-017,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-002.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-003,DEC-018,WS-13,OCOR-DEV-0069,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-003.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-004,DEC-019,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-004.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-005,DEC-022,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-005.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-006,DEC-023,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-006.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-007,DEC-024,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/BR-007.json + raw-log hash,G6,DOCUMENTATION_ONLY
BR-008,"work/irb_2_4.md §Q2.1`; `DEC-030`; Decision Register `DEC-022`; Context Pack `ARC-001`, `ARC-016`; Prompt Master `IRB-2`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-008.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-009,"work/irb_2_4.md §Q3.1`; `DEC-038`; Decision Register `DEC-017`, `DEC-018`, `DEC-023–DEC-025`; Context Pack §4; Fonte B parti IV–VI.",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-009.json + raw-log hash,G6,ABSENT
BR-010,"work/irb_2_4.md §Q3.2`; `DEC-039`; Decision Register `DEC-018`, `DEC-023`, `DEC-024`; `BR-003`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-010.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
